filename,infected
000000.jpeg,no
000001.jpeg,yes
000002.jpeg,yes
000003.jpeg,no
000004.jpeg,yes
000005.jpeg,yes
000006.jpeg,no
000007.jpeg,yes
000008.jpeg,yes
000009.jpeg,yes
000010.jpeg,no
000011.jpeg,yes
000012.jpeg,yes
000013.jpeg,yes
000014.jpeg,yes
000015.jpeg,yes
000016.jpeg,yes
000017.jpeg,no
000019.jpeg,yes
000020.jpeg,no
000021.jpeg,no
000022.jpeg,no
000024.jpeg,yes
000025.jpeg,yes
000027.jpeg,no
000030.jpeg,yes
000032.jpeg,no
000033.jpeg,yes
000034.jpeg,yes
000035.jpeg,yes
000036.jpeg,yes
000037.jpeg,yes
000038.jpeg,no
000039.jpeg,no
000040.jpeg,yes
000041.jpeg,no
000042.jpeg,no
000043.jpeg,no
000045.jpeg,no
000047.jpeg,yes
000048.jpeg,yes
000049.jpeg,yes
000051.jpeg,yes
000052.jpeg,yes
000053.jpeg,no
000055.jpeg,yes
000056.jpeg,yes
000057.jpeg,no
000058.jpeg,yes
000059.jpeg,yes
000060.jpeg,yes
000061.jpeg,no
000062.jpeg,no
000063.jpeg,no
000064.jpeg,no
000065.jpeg,no
000066.jpeg,yes
000067.jpeg,yes
000068.jpeg,no
000070.jpeg,yes
000071.jpeg,no
000072.jpeg,yes
000074.jpeg,yes
000075.jpeg,no
000076.jpeg,no
000077.jpeg,yes
000078.jpeg,no
000079.jpeg,no
000080.jpeg,no
000081.jpeg,no
000082.jpeg,no
000083.jpeg,yes
000084.jpeg,yes
000085.jpeg,no
000086.jpeg,yes
000087.jpeg,yes
000089.jpeg,no
000090.jpeg,yes
000091.jpeg,no
000092.jpeg,no
000093.jpeg,no
000094.jpeg,no
000095.jpeg,yes
000096.jpeg,yes
000097.jpeg,no
000098.jpeg,no
000100.jpeg,yes
000101.jpeg,no
000102.jpeg,no
000103.jpeg,yes
000104.jpeg,yes
000105.jpeg,yes
000106.jpeg,yes
000107.jpeg,yes
000108.jpeg,yes
000109.jpeg,yes
000110.jpeg,no
000113.jpeg,no
000114.jpeg,no
000115.jpeg,yes
000116.jpeg,yes
000117.jpeg,no
000118.jpeg,yes
000119.jpeg,no
000120.jpeg,no
000121.jpeg,yes
000122.jpeg,no
000123.jpeg,no
000124.jpeg,no
000125.jpeg,no
000126.jpeg,no
000127.jpeg,yes
000128.jpeg,yes
000129.jpeg,no
000131.jpeg,yes
000132.jpeg,yes
000133.jpeg,no
000134.jpeg,no
000135.jpeg,no
000136.jpeg,no
